g,Revenue,Primary_def,GDP,tax
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1780499031054016,0.19152541739542087,-0.013475514290019253,1.0578993082977663,0.18104314455370862
0.1780499031054016,0.19152541739542087,-0.013475514290019253,1.0578993082977663,0.18104314455370862
0.1780499031054016,0.19152541739542087,-0.013475514290019253,1.0578993082977663,0.18104314455370862
0.17402634967577812,0.19101123393762087,-0.016984884261842748,1.0550591929396964,0.18104314451344572
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.17402634967577812,0.19101123393762087,-0.016984884261842748,1.0550591929396964,0.18104314451344572
0.17402634967577812,0.19101123393762087,-0.016984884261842748,1.0550591929396964,0.18104314451344572
0.17402634967577812,0.19101123393762087,-0.016984884261842748,1.0550591929396964,0.18104314451344572
0.17402634967577812,0.19101123393762087,-0.016984884261842748,1.0550591929396964,0.18104314451344572
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.1700937200934507,0.19050926019387807,-0.02041554010042737,1.0522865184801626,0.18104314447460013
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.16624995967065345,0.19001919561800473,-0.02376923594735128,1.0495796248391511,0.18104314443711245
0.1624930601512438,0.18954074744294971,-0.027047687291705924,1.0469368949050206,0.18104314440092883
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.15882105866144505,0.18907363046815454,-0.030252571806709483,1.0443567533599902,0.181043144365995
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1552320366843008,0.18861756685291114,-0.033385530168610345,1.0418376655387198,0.18104314433225988
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.13846745195799537,0.18649381510342547,-0.0480263631454301,1.0301070275162802,0.18104314417996537
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14494430711979128,0.18731302397766147,-0.04236871685787019,1.0346319644760802,0.18104314423778078
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1517241190573037,0.1881722859155493,-0.03644816685824559,1.0393781363191117,0.18104314429967605
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.1482954729926764,0.18773752393829682,-0.03944205094562042,1.0369767090444564,0.18104314426819812
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.13846745195799537,0.18649381510342547,-0.0480263631454301,1.0301070275162802,0.18104314417996537
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.14166887054923047,0.18689853568018683,-0.04522966513095636,1.032342519775641,0.18104314420838297
0.13846745195799537,0.18649381510342547,-0.0480263631454301,1.0301070275162802,0.18104314417996537
0.13533837869538873,0.1860986245419896,-0.05076024584660088,1.0279241747218193,0.181043144152488
